description,Maker_Model
"regular unleaded,AUTOMATIC,front wheel drive,Luxury,Midsize,Wagon,Audi 100",Audi 100
"regular unleaded,MANUAL,all wheel drive,Luxury,Midsize,Sedan,Audi 100",Audi 100
"regular unleaded,MANUAL,front wheel drive,Luxury,Midsize,Sedan,Audi 100",Audi 100
"regular unleaded,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,Audi 100",Audi 100
"regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,Audi 100",Audi 100
"premium unleaded (recommended),MANUAL,rear wheel drive,Performance,Compact,Convertible,FIAT 124 Spider",FIAT 124 Spider
"premium unleaded (recommended),MANUAL,rear wheel drive,Performance,Compact,Convertible,FIAT 124 Spider",FIAT 124 Spider
"premium unleaded (recommended),MANUAL,rear wheel drive,Performance,Compact,Convertible,FIAT 124 Spider",FIAT 124 Spider
"regular unleaded,MANUAL,rear wheel drive,Luxury,Compact,Sedan,Mercedes-Benz 190-Class",Mercedes-Benz 190-Class
"regular unleaded,MANUAL,rear wheel drive,Luxury,Compact,Sedan,Mercedes-Benz 190-Class",Mercedes-Benz 190-Class
"regular unleaded,MANUAL,rear wheel drive,Luxury,Compact,Sedan,Mercedes-Benz 190-Class",Mercedes-Benz 190-Class
"regular unleaded,MANUAL,rear wheel drive,Luxury,Compact,Sedan,Mercedes-Benz 190-Class",Mercedes-Benz 190-Class
"regular unleaded,MANUAL,rear wheel drive,Luxury,Compact,Sedan,Mercedes-Benz 190-Class",Mercedes-Benz 190-Class
"regular unleaded,MANUAL,rear wheel drive,Luxury,Compact,Sedan,Mercedes-Benz 190-Class",Mercedes-Benz 190-Class
"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Performance,Compact,Coupe,BMW 2 Series",BMW 2 Series
"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Compact,Convertible,BMW 2 Series",BMW 2 Series
"premium unleaded (required),AUTOMATIC,rear wheel drive,Factory Tuner,Luxury,High-Performance,Compact,Convertible,BMW 2 Series",BMW 2 Series
"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Performance,Compact,Coupe,BMW 2 Series",BMW 2 Series
"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Compact,Convertible,BMW 2 Series",BMW 2 Series
"premium unleaded (required),AUTOMATIC,rear wheel drive,Factory Tuner,Luxury,High-Performance,Compact,Coupe,BMW 2 Series",BMW 2 Series
"premium unleaded (required),MANUAL,rear wheel drive,Luxury,Performance,Compact,Coupe,BMW 2 Series",BMW 2 Series
"premium unleaded (required),AUTOMATIC,all wheel drive,Factory Tuner,Luxury,High-Performance,Compact,Coupe,BMW 2 Series",BMW 2 Series
"premium unleaded (required),AUTOMATIC,rear wheel drive,Factory Tuner,Luxury,High-Performance,Compact,Convertible,BMW 2 Series",BMW 2 Series
"premium unleaded (recommended),AUTOMATIC,all wheel drive,Factory Tuner,Luxury,High-Performance,Compact,Coupe,BMW 2 Series",BMW 2 Series
"premium unleaded (recommended),AUTOMATIC,rear wheel drive,Factory Tuner,Luxury,High-Performance,Compact,Convertible,BMW 2 Series",BMW 2 Series
"premium unleaded (recommended),AUTOMATIC,all wheel drive,Factory Tuner,Luxury,High-Performance,Compact,Convertible,BMW 2 Series",BMW 2 Series
"premium unleaded (recommended),AUTOMATIC,rear wheel drive,Factory Tuner,Luxury,High-Performance,Compact,Coupe,BMW 2 Series",BMW 2 Series
"premium unleaded (recommended),AUTOMATIC,rear wheel drive,Luxury,Performance,Compact,Convertible,BMW 2 Series",BMW 2 Series
"premium unleaded (recommended),AUTOMATIC,rear wheel drive,Luxury,Performance,Compact,Coupe,BMW 2 Series",BMW 2 Series
"premium unleaded (recommended),AUTOMATIC,all wheel drive,Luxury,Performance,Compact,Coupe,BMW 2 Series",BMW 2 Series
"premium unleaded (recommended),AUTOMATIC,all wheel drive,Luxury,Compact,Convertible,BMW 2 Series",BMW 2 Series
"regular unleaded,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,Audi 200",Audi 200
"regular unleaded,MANUAL,all wheel drive,Luxury,Midsize,Wagon,Audi 200",Audi 200
"regular unleaded,MANUAL,all wheel drive,Luxury,Midsize,Sedan,Audi 200",Audi 200
"regular unleaded,MANUAL,all wheel drive,Luxury,Performance,Midsize,Sedan,Audi 200",Audi 200
"regular unleaded,MANUAL,all wheel drive,Luxury,Performance,Midsize,Wagon,Audi 200",Audi 200
"regular unleaded,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,Audi 200",Audi 200
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,Chrysler 200",Chrysler 200
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,Chrysler 200",Chrysler 200
"flex-fuel (unleaded/E85),AUTOMATIC,all wheel drive,Flex Fuel,Performance,Midsize,Sedan,Chrysler 200",Chrysler 200
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,Chrysler 200",Chrysler 200
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Performance,Midsize,Sedan,Chrysler 200",Chrysler 200
"flex-fuel (unleaded/E85),AUTOMATIC,all wheel drive,Flex Fuel,Performance,Midsize,Sedan,Chrysler 200",Chrysler 200
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,Chrysler 200",Chrysler 200
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,Chrysler 200",Chrysler 200
"flex-fuel (unleaded/E85),AUTOMATIC,all wheel drive,Flex Fuel,Performance,Midsize,Sedan,Chrysler 200",Chrysler 200
"flex-fuel (unleaded/E85),AUTOMATIC,all wheel drive,Flex Fuel,Performance,Midsize,Sedan,Chrysler 200",Chrysler 200
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,Chrysler 200",Chrysler 200
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,Chrysler 200",Chrysler 200
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,Chrysler 200",Chrysler 200
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,Chrysler 200",Chrysler 200
"flex-fuel (unleaded/E85),AUTOMATIC,all wheel drive,Flex Fuel,Performance,Midsize,Sedan,Chrysler 200",Chrysler 200
"flex-fuel (unleaded/E85),AUTOMATIC,all wheel drive,Flex Fuel,Performance,Midsize,Sedan,Chrysler 200",Chrysler 200
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,Chrysler 200",Chrysler 200
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,Chrysler 200",Chrysler 200
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,Chrysler 200",Chrysler 200
"flex-fuel (unleaded/E85),AUTOMATIC,all wheel drive,Flex Fuel,Performance,Midsize,Sedan,Chrysler 200",Chrysler 200
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,Chrysler 200",Chrysler 200
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,Chrysler 200",Chrysler 200
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,Chrysler 200",Chrysler 200
"regular unleaded,MANUAL,front wheel drive,nan,Compact,Coupe,Nissan 200SX",Nissan 200SX
"regular unleaded,MANUAL,front wheel drive,nan,Compact,Coupe,Nissan 200SX",Nissan 200SX
"regular unleaded,MANUAL,front wheel drive,Performance,Compact,Coupe,Nissan 200SX",Nissan 200SX
"regular unleaded,MANUAL,front wheel drive,Performance,Compact,Coupe,Nissan 200SX",Nissan 200SX
"regular unleaded,MANUAL,front wheel drive,nan,Compact,Coupe,Nissan 200SX",Nissan 200SX
"regular unleaded,MANUAL,front wheel drive,nan,Compact,Coupe,Nissan 200SX",Nissan 200SX
"regular unleaded,MANUAL,front wheel drive,nan,Compact,Coupe,Nissan 200SX",Nissan 200SX
"regular unleaded,MANUAL,front wheel drive,nan,Compact,Coupe,Nissan 200SX",Nissan 200SX
"regular unleaded,MANUAL,front wheel drive,Performance,Compact,Coupe,Nissan 200SX",Nissan 200SX
"regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,Nissan 240SX",Nissan 240SX
"regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,Nissan 240SX",Nissan 240SX
"regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,Nissan 240SX",Nissan 240SX
"regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,Nissan 240SX",Nissan 240SX
"regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,Nissan 240SX",Nissan 240SX
"regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,Nissan 240SX",Nissan 240SX
"regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,Nissan 240SX",Nissan 240SX
"regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,Nissan 240SX",Nissan 240SX
"regular unleaded,MANUAL,rear wheel drive,Luxury,Midsize,Wagon,Volvo 240",Volvo 240
"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Wagon,Volvo 240",Volvo 240
"regular unleaded,MANUAL,rear wheel drive,Luxury,Midsize,Sedan,Volvo 240",Volvo 240
"regular unleaded,MANUAL,rear wheel drive,Luxury,Midsize,Sedan,Volvo 240",Volvo 240
"regular unleaded,MANUAL,rear wheel drive,Luxury,Midsize,Wagon,Volvo 240",Volvo 240
"regular unleaded,MANUAL,rear wheel drive,Luxury,Midsize,Sedan,Volvo 240",Volvo 240
"regular unleaded,MANUAL,rear wheel drive,Luxury,Midsize,Sedan,Volvo 240",Volvo 240
"regular unleaded,MANUAL,rear wheel drive,Luxury,Midsize,Wagon,Volvo 240",Volvo 240
"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,4dr Hatchback,Mazda 2",Mazda 2
"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,4dr Hatchback,Mazda 2",Mazda 2
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,4dr Hatchback,Mazda 2",Mazda 2
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,4dr Hatchback,Mazda 2",Mazda 2
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,4dr Hatchback,Mazda 2",Mazda 2
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,4dr Hatchback,Mazda 2",Mazda 2
"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,4dr Hatchback,Mazda 2",Mazda 2
"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,4dr Hatchback,Mazda 2",Mazda 2
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,4dr Hatchback,Mazda 2",Mazda 2
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,4dr Hatchback,Mazda 2",Mazda 2
"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,4dr Hatchback,Mazda 2",Mazda 2
"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,4dr Hatchback,Mazda 2",Mazda 2
"premium unleaded (required),AUTOMATIC,all wheel drive,Hatchback,Luxury,Performance,Midsize,4dr Hatchback,BMW 3 Series Gran Turismo",BMW 3 Series Gran Turismo
"premium unleaded (required),AUTOMATIC,all wheel drive,Hatchback,Luxury,Midsize,4dr Hatchback,BMW 3 Series Gran Turismo",BMW 3 Series Gran Turismo
"premium unleaded (required),AUTOMATIC,all wheel drive,Hatchback,Luxury,Midsize,4dr Hatchback,BMW 3 Series Gran Turismo",BMW 3 Series Gran Turismo
"premium unleaded (required),AUTOMATIC,all wheel drive,Hatchback,Luxury,Midsize,4dr Hatchback,BMW 3 Series Gran Turismo",BMW 3 Series Gran Turismo
"premium unleaded (required),AUTOMATIC,all wheel drive,Hatchback,Luxury,Performance,Midsize,4dr Hatchback,BMW 3 Series Gran Turismo",BMW 3 Series Gran Turismo
"premium unleaded (required),AUTOMATIC,all wheel drive,Hatchback,Luxury,Performance,Midsize,4dr Hatchback,BMW 3 Series Gran Turismo",BMW 3 Series Gran Turismo
"premium unleaded (required),AUTOMATIC,all wheel drive,Hatchback,Luxury,Midsize,4dr Hatchback,BMW 3 Series Gran Turismo",BMW 3 Series Gran Turismo
"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,BMW 3 Series",BMW 3 Series
"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,High-Performance,Hybrid,Midsize,Sedan,BMW 3 Series",BMW 3 Series
"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Performance,Midsize,Sedan,BMW 3 Series",BMW 3 Series
"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,High-Performance,Midsize,Sedan,BMW 3 Series",BMW 3 Series
"diesel,AUTOMATIC,rear wheel drive,Diesel,Luxury,Midsize,Sedan,BMW 3 Series",BMW 3 Series
"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,BMW 3 Series",BMW 3 Series
"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,BMW 3 Series",BMW 3 Series
"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,BMW 3 Series",BMW 3 Series
"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Performance,Midsize,Sedan,BMW 3 Series",BMW 3 Series
"diesel,AUTOMATIC,all wheel drive,Diesel,Luxury,Midsize,Wagon,BMW 3 Series",BMW 3 Series
"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Performance,Midsize,Sedan,BMW 3 Series",BMW 3 Series
"diesel,AUTOMATIC,all wheel drive,Diesel,Luxury,Midsize,Sedan,BMW 3 Series",BMW 3 Series
"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,BMW 3 Series",BMW 3 Series
"diesel,AUTOMATIC,all wheel drive,Diesel,Luxury,Midsize,Sedan,BMW 3 Series",BMW 3 Series
"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,High-Performance,Midsize,Sedan,BMW 3 Series",BMW 3 Series
"diesel,AUTOMATIC,rear wheel drive,Diesel,Luxury,Midsize,Sedan,BMW 3 Series",BMW 3 Series
"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Performance,Midsize,Sedan,BMW 3 Series",BMW 3 Series
"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,BMW 3 Series",BMW 3 Series
"premium unleaded (required),MANUAL,rear wheel drive,Luxury,Performance,Midsize,Sedan,BMW 3 Series",BMW 3 Series
"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,BMW 3 Series",BMW 3 Series
"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,BMW 3 Series",BMW 3 Series
"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,BMW 3 Series",BMW 3 Series
"diesel,AUTOMATIC,all wheel drive,Diesel,Luxury,Midsize,Wagon,BMW 3 Series",BMW 3 Series
"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,High-Performance,Midsize,Sedan,BMW 3 Series",BMW 3 Series
"premium unleaded (recommended),AUTOMATIC,rear wheel drive,Luxury,Performance,Midsize,Sedan,BMW 3 Series",BMW 3 Series
"premium unleaded (recommended),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,BMW 3 Series",BMW 3 Series
"premium unleaded (recommended),AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,BMW 3 Series",BMW 3 Series
"premium unleaded (recommended),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,BMW 3 Series",BMW 3 Series
"diesel,AUTOMATIC,all wheel drive,Diesel,Luxury,Midsize,Sedan,BMW 3 Series",BMW 3 Series
"premium unleaded (recommended),AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,BMW 3 Series",BMW 3 Series
"diesel,AUTOMATIC,rear wheel drive,Diesel,Luxury,Midsize,Sedan,BMW 3 Series",BMW 3 Series
"premium unleaded (recommended),AUTOMATIC,all wheel drive,Luxury,Performance,Midsize,Sedan,BMW 3 Series",BMW 3 Series
"premium unleaded (recommended),AUTOMATIC,rear wheel drive,Luxury,High-Performance,Midsize,Sedan,BMW 3 Series",BMW 3 Series
"diesel,AUTOMATIC,all wheel drive,Diesel,Luxury,Midsize,Wagon,BMW 3 Series",BMW 3 Series
"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Large,Sedan,Mercedes-Benz 300-Class",Mercedes-Benz 300-Class
"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Wagon,Mercedes-Benz 300-Class",Mercedes-Benz 300-Class
"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz 300-Class",Mercedes-Benz 300-Class
"regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz 300-Class",Mercedes-Benz 300-Class
"regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,Mercedes-Benz 300-Class",Mercedes-Benz 300-Class
"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz 300-Class",Mercedes-Benz 300-Class
"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Large,Sedan,Mercedes-Benz 300-Class",Mercedes-Benz 300-Class
"regular unleaded,MANUAL,rear wheel drive,Luxury,Performance,Compact,Convertible,Mercedes-Benz 300-Class",Mercedes-Benz 300-Class
"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Coupe,Mercedes-Benz 300-Class",Mercedes-Benz 300-Class
"diesel,AUTOMATIC,rear wheel drive,Diesel,Luxury,Midsize,Sedan,Mercedes-Benz 300-Class",Mercedes-Benz 300-Class
"diesel,AUTOMATIC,rear wheel drive,Diesel,Luxury,Midsize,Sedan,Mercedes-Benz 300-Class",Mercedes-Benz 300-Class
"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Large,Sedan,Mercedes-Benz 300-Class",Mercedes-Benz 300-Class
"regular unleaded,MANUAL,rear wheel drive,Luxury,Performance,Compact,Convertible,Mercedes-Benz 300-Class",Mercedes-Benz 300-Class
"regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz 300-Class",Mercedes-Benz 300-Class
"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Wagon,Mercedes-Benz 300-Class",Mercedes-Benz 300-Class
"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Coupe,Mercedes-Benz 300-Class",Mercedes-Benz 300-Class
"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz 300-Class",Mercedes-Benz 300-Class
"diesel,AUTOMATIC,rear wheel drive,Diesel,Luxury,Large,Sedan,Mercedes-Benz 300-Class",Mercedes-Benz 300-Class
"regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,Mercedes-Benz 300-Class",Mercedes-Benz 300-Class
"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz 300-Class",Mercedes-Benz 300-Class
"regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,Mercedes-Benz 300-Class",Mercedes-Benz 300-Class
"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Coupe,Mercedes-Benz 300-Class",Mercedes-Benz 300-Class
"diesel,AUTOMATIC,rear wheel drive,Diesel,Luxury,Midsize,Sedan,Mercedes-Benz 300-Class",Mercedes-Benz 300-Class
"regular unleaded,MANUAL,rear wheel drive,Luxury,Performance,Compact,Convertible,Mercedes-Benz 300-Class",Mercedes-Benz 300-Class
"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz 300-Class",Mercedes-Benz 300-Class
"diesel,AUTOMATIC,rear wheel drive,Diesel,Luxury,Large,Sedan,Mercedes-Benz 300-Class",Mercedes-Benz 300-Class
"regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz 300-Class",Mercedes-Benz 300-Class
"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz 300-Class",Mercedes-Benz 300-Class
"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Large,Sedan,Mercedes-Benz 300-Class",Mercedes-Benz 300-Class
"regular unleaded,MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Mitsubishi 3000GT",Mitsubishi 3000GT
"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Mitsubishi 3000GT",Mitsubishi 3000GT
"regular unleaded,MANUAL,all wheel drive,Hatchback,Factory Tuner,Performance,Compact,2dr Hatchback,Mitsubishi 3000GT",Mitsubishi 3000GT
"regular unleaded,MANUAL,all wheel drive,Hatchback,Factory Tuner,Performance,Compact,2dr Hatchback,Mitsubishi 3000GT",Mitsubishi 3000GT
"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Mitsubishi 3000GT",Mitsubishi 3000GT
"regular unleaded,MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Mitsubishi 3000GT",Mitsubishi 3000GT
"regular unleaded,MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Mitsubishi 3000GT",Mitsubishi 3000GT
"regular unleaded,MANUAL,all wheel drive,Hatchback,Factory Tuner,Performance,Compact,2dr Hatchback,Mitsubishi 3000GT",Mitsubishi 3000GT
"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Mitsubishi 3000GT",Mitsubishi 3000GT
"regular unleaded,AUTOMATIC,all wheel drive,nan,Large,Sedan,Chrysler 300",Chrysler 300
"regular unleaded,AUTOMATIC,rear wheel drive,nan,Large,Sedan,Chrysler 300",Chrysler 300
"regular unleaded,AUTOMATIC,rear wheel drive,nan,Large,Sedan,Chrysler 300",Chrysler 300
"regular unleaded,AUTOMATIC,all wheel drive,nan,Large,Sedan,Chrysler 300",Chrysler 300
"regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Sedan,Chrysler 300",Chrysler 300
"regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Sedan,Chrysler 300",Chrysler 300
"regular unleaded,AUTOMATIC,all wheel drive,nan,Large,Sedan,Chrysler 300",Chrysler 300
"regular unleaded,AUTOMATIC,all wheel drive,nan,Large,Sedan,Chrysler 300",Chrysler 300
"regular unleaded,AUTOMATIC,all wheel drive,nan,Large,Sedan,Chrysler 300",Chrysler 300
"regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Sedan,Chrysler 300",Chrysler 300
"regular unleaded,AUTOMATIC,all wheel drive,nan,Large,Sedan,Chrysler 300",Chrysler 300
"regular unleaded,AUTOMATIC,rear wheel drive,nan,Large,Sedan,Chrysler 300",Chrysler 300
"regular unleaded,AUTOMATIC,all wheel drive,nan,Large,Sedan,Chrysler 300",Chrysler 300
"regular unleaded,AUTOMATIC,all wheel drive,nan,Large,Sedan,Chrysler 300",Chrysler 300
"regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Sedan,Chrysler 300",Chrysler 300
"regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Sedan,Chrysler 300",Chrysler 300
"regular unleaded,AUTOMATIC,rear wheel drive,nan,Large,Sedan,Chrysler 300",Chrysler 300
"regular unleaded,AUTOMATIC,rear wheel drive,nan,Large,Sedan,Chrysler 300",Chrysler 300
"regular unleaded,AUTOMATIC,all wheel drive,nan,Large,Sedan,Chrysler 300",Chrysler 300
"regular unleaded,AUTOMATIC,all wheel drive,nan,Large,Sedan,Chrysler 300",Chrysler 300
"regular unleaded,AUTOMATIC,all wheel drive,nan,Large,Sedan,Chrysler 300",Chrysler 300
"regular unleaded,AUTOMATIC,all wheel drive,nan,Large,Sedan,Chrysler 300",Chrysler 300
"regular unleaded,AUTOMATIC,all wheel drive,nan,Large,Sedan,Chrysler 300",Chrysler 300
"regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Sedan,Chrysler 300",Chrysler 300
"regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Sedan,Chrysler 300",Chrysler 300
